total time (train set)	% mean class accuracy (train set)	
 2.7274e+04	 9.5075e+01	
 2.7355e+04	 9.5523e+01	
 2.7436e+04	 9.5364e+01	
 2.7517e+04	 9.5168e+01	
 2.7598e+04	 9.5476e+01	
 2.7679e+04	 9.4972e+01	
 2.7760e+04	 9.5150e+01	
 2.7841e+04	 9.5607e+01	
 2.7922e+04	 9.5364e+01	
 2.8003e+04	 9.5448e+01	
 2.8084e+04	 9.5346e+01	
 2.8165e+04	 9.5234e+01	
 2.8246e+04	 9.5513e+01	
 2.8328e+04	 9.5523e+01	
 2.8409e+04	 9.5747e+01	
 2.8490e+04	 9.5728e+01	
 2.8571e+04	 9.5803e+01	
 2.8652e+04	 9.5793e+01	
 2.8733e+04	 9.5831e+01	
 2.8814e+04	 9.5896e+01	
 2.8895e+04	 9.6017e+01	
 2.8976e+04	 9.5747e+01	
 2.9057e+04	 9.6278e+01	
 2.9138e+04	 9.6213e+01	
 2.9219e+04	 9.6213e+01	
 2.9300e+04	 9.6138e+01	
 2.9381e+04	 9.6409e+01	
 2.9462e+04	 9.6484e+01	
 2.9543e+04	 9.6418e+01	
 2.9624e+04	 9.6418e+01	
 2.9705e+04	 9.6540e+01	
 2.9786e+04	 9.6297e+01	
 2.9867e+04	 9.6679e+01	
 2.9948e+04	 9.6558e+01	
 3.0029e+04	 9.6838e+01	
 3.0110e+04	 9.6773e+01	
 3.0191e+04	 9.6540e+01	
 3.0272e+04	 9.6791e+01	
 3.0353e+04	 9.6801e+01	
 3.0435e+04	 9.6801e+01	
 3.0516e+04	 9.7286e+01	
 3.0597e+04	 9.7183e+01	
 3.0678e+04	 9.7108e+01	
 3.0759e+04	 9.6913e+01	
 3.0840e+04	 9.6987e+01	
 3.0921e+04	 9.7211e+01	
 3.1002e+04	 9.7136e+01	
 3.1083e+04	 9.7155e+01	
 3.1164e+04	 9.7053e+01	
 3.1245e+04	 9.6987e+01	
 3.1326e+04	 9.6941e+01	
 3.1407e+04	 9.7267e+01	
 3.1488e+04	 9.6969e+01	
 3.1569e+04	 9.7435e+01	
 3.1650e+04	 9.7108e+01	
 3.1731e+04	 9.7314e+01	
 3.1812e+04	 9.7108e+01	
 3.1893e+04	 9.7183e+01	
 3.1974e+04	 9.7164e+01	
 3.2055e+04	 9.7360e+01	
 3.2136e+04	 9.7631e+01	
 3.2217e+04	 9.7575e+01	
 3.2298e+04	 9.7547e+01	
 3.2379e+04	 9.7649e+01	
 3.2460e+04	 9.7594e+01	
 3.2542e+04	 9.7407e+01	
 3.2623e+04	 9.7547e+01	
 3.2704e+04	 9.7631e+01	
 3.2785e+04	 9.7668e+01	
 3.2866e+04	 9.7677e+01	
 3.2947e+04	 9.7761e+01	
 3.3028e+04	 9.7696e+01	
 3.3109e+04	 9.7789e+01	
 3.3190e+04	 9.7780e+01	
 3.3271e+04	 9.7705e+01	
 3.3352e+04	 9.7845e+01	
 3.3433e+04	 9.7780e+01	
 3.3514e+04	 9.7724e+01	
 3.3595e+04	 9.7631e+01	
 3.3676e+04	 9.8023e+01	
 3.3757e+04	 9.7985e+01	
 3.3838e+04	 9.7939e+01	
 3.3919e+04	 9.7733e+01	
 3.4000e+04	 9.7892e+01	
 3.4081e+04	 9.7957e+01	
 3.4162e+04	 9.8088e+01	
 3.4243e+04	 9.7883e+01	
 3.4324e+04	 9.8004e+01	
 3.4405e+04	 9.8069e+01	
 3.4486e+04	 9.8116e+01	
 3.4568e+04	 9.8023e+01	
 3.4649e+04	 9.7883e+01	
 3.4730e+04	 9.8218e+01	
 3.4811e+04	 9.8321e+01	
 3.4892e+04	 9.8190e+01	
 3.4973e+04	 9.8377e+01	
 3.5054e+04	 9.8144e+01	
 3.5135e+04	 9.8274e+01	
 3.5216e+04	 9.8218e+01	
 3.5297e+04	 9.7939e+01	
 3.5378e+04	 9.7948e+01	
 3.5459e+04	 9.8097e+01	
 3.5540e+04	 9.8246e+01	
 3.5621e+04	 9.8200e+01	
 3.5702e+04	 9.8592e+01	
 3.5783e+04	 9.8200e+01	
 3.5864e+04	 9.8032e+01	
 3.5945e+04	 9.8312e+01	
 3.6026e+04	 9.8312e+01	
 3.6107e+04	 9.8228e+01	
 3.6188e+04	 9.8396e+01	
 3.6269e+04	 9.8470e+01	
 3.6350e+04	 9.8265e+01	
 3.6431e+04	 9.8414e+01	
 3.6512e+04	 9.8330e+01	
 3.6593e+04	 9.8414e+01	
 3.6674e+04	 9.8489e+01	
 3.6755e+04	 9.8358e+01	
 3.6836e+04	 9.8274e+01	
 3.6917e+04	 9.8564e+01	
 3.6998e+04	 9.8377e+01	
 3.7079e+04	 9.8274e+01	
 3.7161e+04	 9.8237e+01	
 3.7242e+04	 9.8265e+01	
 3.7323e+04	 9.8330e+01	
 3.7404e+04	 9.8442e+01	
 3.7485e+04	 9.8377e+01	
 3.7566e+04	 9.7957e+01	
 3.7647e+04	 9.8349e+01	
 3.7728e+04	 9.8368e+01	
 3.7809e+04	 9.8536e+01	
 3.7890e+04	 9.8452e+01	
 3.7971e+04	 9.8358e+01	
 3.8052e+04	 9.8265e+01	
 3.8133e+04	 9.8461e+01	
 3.8214e+04	 9.8442e+01	
 3.8295e+04	 9.8703e+01	
 3.8376e+04	 9.8461e+01	
 3.8457e+04	 9.8386e+01	
 3.8538e+04	 9.8629e+01	
 3.8619e+04	 9.8489e+01	
 3.8700e+04	 9.8694e+01	
 3.8781e+04	 9.8592e+01	
 3.8862e+04	 9.8629e+01	
 3.8943e+04	 9.8657e+01	
 3.9024e+04	 9.8414e+01	
 3.9105e+04	 9.8554e+01	
 3.9186e+04	 9.8573e+01	
 3.9267e+04	 9.8806e+01	
 3.9348e+04	 9.8834e+01	
 3.9429e+04	 9.8722e+01	
 3.9510e+04	 9.8731e+01	
 3.9591e+04	 9.6866e+01	
 3.9672e+04	 9.8060e+01	
 3.9753e+04	 9.8293e+01	
 3.9835e+04	 9.8526e+01	
 3.9916e+04	 9.8396e+01	
 3.9997e+04	 9.8302e+01	
 4.0078e+04	 9.8517e+01	
 4.0159e+04	 9.8666e+01	
 4.0240e+04	 9.8685e+01	
 4.0321e+04	 9.8564e+01	
 4.0402e+04	 9.8396e+01	
 4.0483e+04	 9.8703e+01	
 4.0564e+04	 9.8470e+01	
 4.0645e+04	 9.8601e+01	
 4.0726e+04	 9.8526e+01	
 4.0807e+04	 9.8797e+01	
 4.0888e+04	 9.8554e+01	
